review_date,review_title,author_active,location,overall_rating,recommends,outlook,review_text,pros,cons
2019-08-28,Good Company,Former Employee - Trainee,Pune,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for less than a year,"Performance based promotion
Work life balance",In this a short term i did not find any cons at all
2019-08-21,Developer,Current Employee - Software Engineer At Principal Pune,NA,4.0,NA,NA,I have been working at Principal Financial Group full-time,"Cab Facility
Work Life Balance and nice work culture
Helpful team mates
Good salary",Need to speak in big meetings if u wish to gain anything
2019-08-21,Nice Place to work,Senior Business Analyst,Pune,4.0,Recommends,Neutral Outlook,I worked at Principal Financial Group ,"Cab facility, employee friendly, work life balance","No work from home, Leaves"
2019-08-13,Very stable and good organization,Former Employee - Associate,Pune,4.0,Recommends,Neutral Outlook,I worked at Principal Financial Group full-time for more than 3 years,"Good organization with very good ethics. The company cares about its people and policies are also very good.
Quality of work is good. Salary paid and raises are also quite good",WFH is not exactly preferred. A lot of emphasis on other things apart from your actual work. Vertical growth is slow.
2019-08-11,Good,Current Employee - Anonymous Employee,NA,4.0,Recommends,Negative Outlook,I have been working at Principal Financial Group full-time,"Compensation is good
Transport is free","Higher management is lousy
Hierarchy is pathetic"
2019-08-05,Lead Business Analyst,Current Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Freedom to work and opportunities.,Quality of work and management
2019-08-01,Working culture,Current Employee - Software Developer,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for more than 3 years,Great work culture and is good place to be at,Biased people in the management
2019-08-10,Good not great,Current Employee - Developer,Pune,3.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than a year,"1. If you are willing to contribute towards the company actively regardless of what kind of work comes your way, this is the best since a lot of it gets repeated with time.
2. You are allowed freedom (with time) to move between roles at beginner stages (Trainee) which is good if you're still indecisive about your career but it depends on your Manager. 
3. Mostly, you get what you want (Promotions, Role changes,... sometimes even team changes) if you show potential and are willing to wait.","1. As mentioned in the Pro, the work is pretty much similar throughout. 
2. You might get to play around with a new technology but they are really not the bleeding edge tech type company.
3. There are structural changes occasionally which might affect some. (Not in terms of work or money though)"
2019-07-20,Claims,Current Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Good company very employee centric,Nothing as such it's perfect in all sense just need to increase compensation
2019-07-21,Product Owner,Current Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,"Excellent work life balance
ESPP options",Management focus on Product Management should be more
2019-08-03,Nice experience,Current Employee - Software Engineer,NA,2.0,NA,NA,I have been working at Principal Financial Group full-time,"Nice place to work 
More parties","No such cons
Love this place"
2019-07-20,Average,Former Employee - Anonymous Employee,NA,3.0,NA,NA,I worked at Principal Financial Group full-time,"Good packages, premises are awesome","Poor Management, seniors pressure, no on time resolution"
2019-06-27,Very nice company,Former Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than a year,"Employee friendly and Flexibility 
Cab facility","Not much to say 
 No work from home"
2019-06-25,Great place to be at,Current Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,A great company to work with.,"None,  nothing that is con"
2019-06-26,Sales,Former Employee - Anonymous Employee,NA,3.0,Recommends,Neutral Outlook,I worked at Principal Financial Group full-time,"Supportive management , friendly culture good","Job insecurity, nothing else to"
2019-06-12,Trainee-analyst,Current Employee - Anonymous Employee,NA,4.0,NA,NA,I have been working at Principal Financial Group full-time,Good working experience and improve individually,A bit high living expenses
2019-06-11,A very employee centric company with good growth plans,Current Employee - Senior Administrative Assistant,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 10 years,Work environment is very accommodating,Growth is comparatively a bit slow
2019-05-27,Nice company,Current Employee - Developer,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 3 years,You can make your career over here.,Few cheap people found everywhere.
2019-05-29,managment tranee,Current Employee - Anonymous Employee,NA,4.0,Approves of CEO,NA,I have been working at Principal Financial Group full-time,friendly work environment in company,growth is very slow in company
2019-05-21,Good company to work,Current Employee - Senior Analyst,Pune,4.0,Recommends,Neutral Outlook,I have been working at Principal Financial Group full-time for more than 5 years,"Have a very great benefits leaves, transport, insurance etc.",Salary is less and they always approach traditional way.
2019-05-15,The best HR possible,Current Employee - .NET Developer,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for less than a year,"Helpful interviewers
Helpful HR
Lively work culture",Nothing i can point out
2019-05-25,Good if u wanna chill,Current Employee - T2 Analyst,Pune City,2.0,Doesn't Recommend,Negative Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"I have been working at Principal Financial Group full-time for more than 3.5 years

Pros

1. High amounts of free time - so much that u feel underutilised but its good if u wanna switch. Study and switch to companies with 2x salary and less toxicity
2. Health benefits. Leave policy. 
3. Recroom.","Cons - 
1. Recroom. I have seen people playing TT all day in rec-room and get hikes better than some people who work hard all day (includes me obviously)
2. Unfair treatment. They say they use market correction my foot. They pay differently even among teams and boast of being fair. I mean come on, isn't that funny. People who do not understand basic programming stuff get same hikes are people who do good just cuz... of manager bias or cuz manager is of opposite sex.
3.They dont follow on their words - Managers are only for the sake of approving leave. Do nothing sit all day in single place and talk big words. Leadership just talks about big terms and do nothing on it.
4. Leadership does not care about a persons career growth. U wil be treated as a resource and not a human. So much that I am planing to switch back to the company I came from. I wish I never switched to Principal global for the same of higher package - my friends at my previous org make more than me and half of them have been onsite too."
2019-05-12,Never Join PGS-Pune,Former Employee - Developer,Pune,2.0,Doesn't Recommend,Negative Outlook,I worked at Principal Financial Group full-time for more than 3 years,Work life balance. Good Cab service,Lot of Politics. Lot of discrimination based on Hindi speaking Guy and Marathi speaking guy. I felt like that I am not in Indian.
2019-04-24,Good for mid career level people,Current Employee - Business Analyst,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for more than 3 years,"1. Good insurance benefits, might be the best
2. Stress free environment 
3. Open culture 
4. Good for technical people and freshers.","1. No onsite
2. Sometimes you might feel under-utilised"
2019-04-13,"Great place to work, tricky to build your career over the years",Current Employee - Senior Web Developer,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"1. Good work life balance .
2. Sufficient freedom to try out new technologies
3. Plenty of platforms (both technical and business) to learn , experiment and express yourselves.
4. Good compensation and company policies
5. Mostly nice people and supportive colleagues","1. Recent focus to engineering culture is causing lots of distraction for developers.
2. Difficult to grow technically as the onus is entirely on yourself to self learn.
3. Lots of old projects and newer work is usually picked by home office counterparts.
4. Too many non-productive people and difficult to find a mentor 
5. Lack of trainings.
6. Growing attrition problem as senior resources are leaving the... company."
2019-03-15,My experience with principal is good.,Current Employee - Analyst,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"Work environment,  IJP is easy to move yourself from one to other team.",Less opportunity for promotion in one team.
2019-03-27,analyst,Current Employee - Anonymous Employee,NA,3.0,NA,NA,I have been working at Principal Financial Group full-time,cab service is what i like,use old technology and work is not challenging
2019-03-06,Analyst,Current Employee - Anonymous Employee,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for more than a year,"Work life balance
Free cab
Overtime allowance
Employee oriented company","Old technologies
Legacy applications
Cafeteria food is not good"
2019-03-24,Worst ever decision to join Principal,Former Employee - Analyst,Pune,1.0,Doesn't Recommend,Neutral Outlook,I worked at Principal Financial Group full-time for more than a year,Free cab facility is the only perks here.,"No learning
Higher management talks about innovations and ends up doing nothing
No quality work
Full of non technical managers and leaders"
2019-02-10,Analyst,Former Employee - Anonymous Employee,NA,5.0,NA,NA,I worked at Principal Financial Group full-time,Good company to work for.,I could not find any
2019-01-30,Good for freshers,Current Employee - Anonymous Employee,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for less than a year,Lot to learn new technology,Still finding a con for this company
2019-01-31,Business analyst,Former Employee - Business,Pune,4.0,Recommends,Approves of CEO,I worked at Principal Financial Group full-time for more than a year,"Good work environment and culture, flexible timings",Sometimes needs to stretch work hours
2019-01-15,good,Current Employee - Anonymous Employee,NA,4.0,NA,NA,I have been working at Principal Financial Group full-time,"good environment,  transport facility",no cons as such other.
2019-02-20,Average company and Mngmt,Current Employee - Business Analyst,Pune,1.0,Doesn't Recommend,Negative Outlook,I have been working at Principal Financial Group full-time,No pros i can think of,Dull work environment. mngmt work in old traditional style. Lot of politics. Buttering will take u ahead. HR team is unfriendly. Performance appraisal and employee opinion surveys are just show off. You need to be your mngrs fav if you want to grow in this company. Mngrs take things to personal level and will give it back to you when time comes.
2019-01-21,Process Associate,Former Employee - Anonymous Employee,NA,3.0,NA,NA,I worked at Principal Financial Group full-time,It was a competitive place to work at,Time management was bad. People ended up working extra all the time.
2018-12-22,Very good company for Mainframe developer but not for QAs,Current Employee - Analyst,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for less than a year,"Good work culture and processes
Lots of opportunities available to learn
Free to express your vision and ability",No onsite opportunity as such
2018-12-02,Great Company to work in !!,Current Employee - Anonymous Employee,NA,5.0,NA,NA,I have been working at Principal Financial Group full-time,Lets you have  well balanced life style,Didnt find any. Company is great to work in.
2018-11-27,Associate Consultant,Former Employee - Associate Consultant,Mumbai,4.0,Recommends,Approves of CEO,I worked at Principal Financial Group full-time for more than a year,"Perfect Work life balance
Good Salary
Notice Period is 1 month","Since the organisation is product based, opportunities are less to grow"
2018-11-26,Good company,Current Employee - Anonymous Employee,NA,4.0,NA,NA,I have been working at Principal Financial Group full-time,"Work life balance!!!!
Open culture towards work.",No cons as such seen !!!
2018-11-25,Java Developer,Current Employee - Anonymous Employee,NA,5.0,NA,NA,I have been working at Principal Financial Group full-time,Good company and perks. Work life balance,"Very biased, low technical exposure, average pay"
2018-11-13,Overall Good Experience,Former Employee - Anonymous Employee,NA,4.0,NA,NA,I worked at Principal Financial Group full-time,"Good Work environment
Work life Balance",Less Salary is offered to Associate
2018-11-21,Good work life balance,Current Employee - Anonymous Employee,NA,3.0,Doesn't Recommend,Positive Outlook,I have been working at Principal Financial Group full-time,"Good work life balance
Employee friendly","Old technologies
Work culture
Some policies are bad"
2018-12-08,Technologically Boring and Stagnation - Pune,Current Employee - Senior Applications Developer,Pune,1.0,Doesn't Recommend,Negative Outlook,I have been working at Principal Financial Group full-time for more than 5 years,"1. Initial Package
2. 50% company sponsored food coupons
3. Free Cab service
4. Flexi-Insurance
5. Training period for trainee fresher employees","1. No onsite opportunities for 95% of employees
2. Maintenance work of old technology systems
3. 100% dependence on parent US office
4. Leaders and Managers are not able to device plan for Pune employees
5. Very less learning opportunities. Innovation culture is just fake, only for namesake.
6. Technically backward
7. A lot of politics and favoritism.
8. Incorrect assessment process for employees leaves no mark for improvement
9. Lack of Healthy options in cafeteria, a lot of unhealthy food options.
10. Waterfall way of Agile implementation.
11. No guidance from leaders/ managers about employees career growth. Only foolish talks.

Note: Do not go by reviews /rating in glassdoor as most of the good ratings are for US office by US employees. Do get in touch with Pune Employees to know exact situation about Pune office."
2018-10-22,Solution Lead,Current Employee - Anonymous Employee,NA,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Explore and learn multiple tools and technology on job.,Apply best practice is mostly optional for new technologies.
2018-10-18,Principal Global Services Pune - Strategy focus,Current Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,An organisation with high focus on strategy formulation and communication. Senior leaders are passionate about about articulating strategy and vision to employees at all levels. Inclusive approach.  Leaders get frequent opportunities to interact face-to-face with CXO level leaders in parent organisation. Thought leadership and strategic thinking is highly regarded.,Strategy focus gets perceived by some as lack of focus on operational excellence.
2018-10-12,Application Developer,Former Employee - Applications Developer,Pune,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time,"Good Company Environment
Open Culture
Lot of opportunities to explore
Work Life Balance
Location is good",Food in Cafeteria is not good
2018-10-10,Employee is heard and valued,Current Employee - Tech Lead,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 5 years,"- Your opinion matter.
- Salary is good for certain skill sets.
- Work life balance","- No Onsite Opportunities
- Focus is more on innovation and sometimes it is directionless."
2018-10-04,Good company to work at,Current Employee - Senior Java Developer,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"Work life balance
New opportunities to work",Few projects are legacy applications
2018-09-13,Software Developer,Current Employee - Anonymous Employee,Pune,5.0,Doesn't Recommend,Positive Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"1)Work Life Balance .
2)good PF contribution .
3)Cab service .
4)Flexible timings .
5)easy go lucky work style.
6)Transparent Culture
7)Good company to retire at.","1)Old legacy technology , nothing for techies or ambitious freshers.
2)Too much politics and micro management.
3)Favoritism at its peak.
4)Bad canteen food .
5)In-hand salary very low  compared to CTC.
6)NO onsite opportunity."
2018-09-04,Principal Global Soft,Current Employee - Software Developer,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for less than a year,Good if you want to move ahead in management stuff,it is Not a technical company
2018-09-19,Trainee Analyst (ML and Data Analyst),Current Employee - Anonymous Employee,NA,3.0,NA,NA,I have been working at Principal Financial Group full-time,"Good Office
Perks - cab facility, subsidized meal","Not much growth opportunities
Mostly backend office work"
2018-08-21,"Passive, laid back work culture",Current Employee - Anonymous Employee,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for more than a year,"Good for mid age employees who need good work-life balance
Good salary","old technologies
tons of tech debt"
2018-08-16,PFG A Great Place To Work,Former Employee - Associate Consultant,Pune,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than 3 years,"1. I worked independently. 
2. No micro management
3. Friendly environment
4. Fast growing environment - technical, professional.
5. Great Leadership and always accessible.","1. Comparatively high work load.
2. Organization is conservative. 
3. Financial growth is slow."
2018-07-19,Relax and Enjoy....,Former Employee - Analyst,Pune,4.0,Positive Outlook,Approves of CEO,I worked at Principal Financial Group full-time for more than a year,"I have worked here for BU called as PGI.
If you want to learn Mule Soft then you should definitely join this company.
Rleaxed environment, not much of work pressure .
Managers and Leads are good & Friendly.
You will eventually learn table tennis here.
DC, seasons & Amanora are near by so you can go in the evenings there.
Decent early hike i.e. 10%.","No Work from home.
No Onsite.
If you do not understand marathi then that will be a issue for you as the managers here prefer to speak in marathi, so you can understand if managers prefer to speak in marathi then local crowd will automatically speak marathi during meetings and @work.
Home Office is considered as God and all the suggestions made by them are treated as viable and important but your suggestions will not be valued.
Limited food Options."
2018-07-29,Good place to work,Former Employee - Anonymous Employee,NA,5.0,NA,NA,I worked at Principal Financial Group full-time,"1.Work Life Balance
2.Good pay scale",Technologies used by the company is out dated
2018-07-14,Principal Global Services,Current Employee - User Experience Lead,NA,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Fantastic  environment to work at!,Nothing so far. Things are smooth.
2018-07-18,Good,Former Employee - Senior Associate,Pune,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than 3 years,Best place to work and learn new things.,There is no cons in company according to me.
2018-07-16,Excellent company to work for!,Former Employee - Senior Business Analyst,Pune,4.0,Recommends,Approves of CEO,I worked at Principal Financial Group full-time for more than a year,"Nice work culture,Free transport, Good learning opportunities,Good yearly hike",Nothing that I can think of.
2018-07-06,Business Analyst,Former Employee - Anonymous Employee,NA,4.0,NA,NA,I worked at Principal Financial Group full-time,"Employee Friendly,  a lot of  employee perks",The job becomes monotonous and doesn't leave much room for growth
2018-07-12,Senior developed,Current Employee - Anonymous Employee,NA,3.0,Recommends,Neutral Outlook,I have been working at Principal Financial Group full-time,Good lateral hike at joingjng,More political inside inside company
2018-06-18,Nice company,Current Employee - Anonymous Employee,NA,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,work life balance is good,No work from home option
2018-06-11,Best place to work,Current Employee - Technical Analyst,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"Work-life balance
Paymaster
Nice culture and values
CSR","Less chances of onsite
No work from home"
2018-06-11,Great Company,Former Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time,"Great Package
Work life Balance
Good management
best company to work with",No Cons at all in this company
2018-05-16,Good work life balance,Current Employee - Anonymous Employee,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for more than 3 years,"If you are looking for work life balance, it is good",Cafeteria food is worst here.
2018-05-10,Manager,Former Employee - Anonymous Employee,NA,4.0,NA,NA,I worked at Principal Financial Group full-time,Good company to work for,Nothing as such as cons
2018-05-08,Manager Transport,Former Employee - Anonymous Employee,NA,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than 5 years,"Excellent company to work with.
Employee centric 
Good growth opportunities",Management issue in F & A dept
2018-05-05,Good place to works but not in operations,Current Employee - Process Lead,Pune,3.0,NA,NA,I have been working at Principal Financial Group full-time for more than a year,"Salary and increments are good,","Leave policy
work timing
unlimited overtime
not at all employee concern"
2018-04-20,Great place to work at,,NA,4.0,NA,NA,I worked at Principal Financial Group  for more than a year,"Good salary, Good work life balance",no cons acc to me
2018-04-16,One of best IT companies in Pune,Former Employee - Systems Expert,Pune,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than 5 years,Exposure to business and technologies and work life balance,Cant find any such at the moment
2018-04-06,"Better than avg company like IBM,TCS",Current Employee - Quality Analyst,Pune,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time for more than a year,"Company takes full care of you
POlicy are transparent
Give good compensation as per market standard",Politics is worst for this company
2018-04-04,Associate,Former Employee - Anonymous Employee,NA,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time,"Best Facilities, transport and employee benefits","nothing specific, only problem is night shift timing and overtime rest everything fine"
2018-04-12,Good but not great,Current Employee - Anonymous Employee,Pune City,3.0,NA,NA,I have been working at Principal Financial Group full-time for more than 3 years,"Work Life Balance
Good Salary per industry standards","Too much importance to other activities apart from work
Hike is good in the beginning but later it isn't great
Learning curve is less"
2018-03-28,Nice to start in IT,Current Employee - Analyst Developer,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for less than a year,"- work life balance 
- Salary for start","- less opportunities 
- no work flow"
2018-03-24,opportunity,Current Employee - Anonymous Employee,NA,4.0,NA,NA,I have been working at Principal Financial Group full-time,Opportunities to work on multiple technologies,Food is not good here.
2018-03-19,Business Analyst,Business Analyst,Pune,5.0,Recommends,Positive Outlook,I have been working at Principal Financial Group  for more than a year,"Lots of learning, Good Salary","Fix shift, No fun culture and no outing"
2018-03-30,analyst,Current Employee - Analyst,Pune,2.0,NA,NA,I have been working at Principal Financial Group full-time for more than a year,Good working place and healthy place,Analyst as doing add coverages insuranse
2018-03-04,Working Full-time as a Systems Analyst,Former Employee - Systems Analyst,Pune,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than a year,"Amazing people and work culture
Flexi leaves and other great employee benefits",Cab and food service could be improved
2018-03-16,Process lead,Current Employee - Process Lead,Pune City,3.0,NA,NA,I have been working at Principal Financial Group full-time for more than 3 years,"Salary, shift allowance , multiple projects, Blueworks, automation","Overtime, queue management, project outsourcing  and iteration rate"
2018-03-16,A good culture!,Current Employee - Anonymous Employee,NA,3.0,Approves of CEO,NA,I have been working at Principal Financial Group full-time for more than a year,"PFA is undoubtedly have awesome work culture, principals. 

They welcome your suggestions, process related ideas.. A lot of inspiration. 

Open office culture.. Good ppl to work around.",PGS under PFG needs to maintain the standards
2018-02-24,Nice work-life balance,Java Developer,Pune,4.0,NA,NA,I have been working at Principal Financial Group  for more than 3 years,"Good business exposure, open environment, easy reach to higher management.","Less work on cloud, more on mainframes, growth is fast only for highly talented."
2018-02-12,3 years and counting in PGS,Current Employee - Senior Analyst,Pune,4.0,Recommends,Approves of CEO,I have been working at Principal Financial Group full-time for less than a year,"Open culture - can reach out anyone for anything. The Higher Management is keen to help. 
Opportunities - This place is filled with opportunities, be it switching to a newer role or participating in Organisation level initiatives. You get to explore different aspect of your behavior -  by contributing to the society (CSR activities), different Tech forums etc.
Great Benefits - Principal offers multiple perks for... their employees","The company's conservative approach - tend to mould/retain inefficient employees rather firing them.
Small in size - Principal is confined to 3-4 floors of office space. No room for recreational activities. Infrastructure is limited."
2018-02-09,Good quality work,Current Employee - Anonymous Employee,NA,4.0,NA,NA,I have been working at Principal Financial Group full-time,company is bringing good work and positions in pune.  focus on RPA and automation anywhere,"no space for meetings, rooms always booked"
2018-01-31,Nice place to work,Current Employee - Financial Analyst,Pune,4.0,NA,NA,I have been working at Principal Financial Group full-time for more than a year,"1. Competitive salary
2. Best Insurance Policies
3. Good Transport arrangement
4. nice place to set a long term career
5. Zero tolerance to malpractice
6. Captive unit
7. Work life balance","1. High attrition due to short notice period
2. Dress code policy* (for men it is kind of disappointing)
3. Space issue due to increased hiring though no increase in infrastructure."
2018-02-04,Good place to work,Current Employee - Anonymous Employee,NA,3.0,Doesn't Recommend,Positive Outlook,I have been working at Principal Financial Group full-time,work life balance is good,Future growth path not clear
2017-11-29,Analyst,Current Employee - Anonymous Employee,NA,4.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Good staff behaviour overall. Impressed,Communication issues like clarifing instruction.
2017-11-11,Good company to work with,Former Employee - Senior Java Developer,Pune,4.0,NA,NA,I worked at Principal Financial Group full-time for more than a year,Good work life balance in the company.,"Less visibility, does not emphasize on training methods to improve business understanding."
2017-11-14,So so,,NA,3.0,Doesn't Recommend,NA,I worked at Principal Financial Group ,Infra and culture are ok ok,Managers dont respect the employees
2017-10-13,Good for Managers,,NA,3.0,NA,NA,I have been working at Principal Financial Group ,Good work life is plus point,"Not much technical work
Less growth in terms of salary"
2017-10-22,Worst ever company to work with,Current Employee - Analyst,Pune,1.0,Doesn't Recommend,Negative Outlook,I have been working at Principal Financial Group full-time for more than 3 years,"They have sperate team to handle and give random fake good reviews in glass door and linkden..don't get fooled by it..
Nothing good...it's worst ever company to work with","If you are reading regular good comments in glassdoor and somewhere getting a feeling that everybody is writing in same fashion and almost same or repeated words.. don't b amazed because principal Pune has created a team to update its social status... They have created a team to handle it's declining status in linkden and glassdoor.. so don't get easily fooled by those repeated good comments.
This company has alot... of old manager who really don know how to manage people, favourism , partiality for Marathis , groupism prevailed here.."
2017-09-18,Nice,Former Employee - Anonymous Employee,Pune,4.0,Recommends,NA,I worked at Principal Financial Group full-time for more than 3 years,"Learning edge, Competitive pay scale","Work Life balance , work Enviornment"
2017-09-06,Technical Lead,Former Employee - Technical Lead,Pune,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than 10 years,"Great work life balance
Cab facility
great company if you do not have any financial liabilites",- lot of politics as in every other company
2017-09-05,Great Culture!,Former Employee - Anonymous Employee,NA,4.0,Recommends,Neutral Outlook,I worked at Principal Financial Group full-time,"1. Work Life Balance
2. Competitive Pay
3. Freedom to Ideate","1. Mid level Management
2. No Growth Plan"
2017-08-27,Best place to work in,Former Employee - Anonymous Employee,Pune,4.0,Recommends,Positive Outlook,I worked at Principal Financial Group full-time for more than a year,Gr8 Work life balance. Good pay scale. Opportunities to grow.,No onsite at all. Cant think of anything else.
2017-09-09,Good company to work,Current Employee - Anonymous Employee,NA,3.0,Recommends,Positive Outlook,I have been working at Principal Financial Group full-time,Good work life balance,"Slow Growth, compensation could be better"
2017-08-25,Good company to work with,Current Employee - Anonymous Employee,NA,3.0,Recommends,Approves of CEO,I have been working at Principal Financial Group full-time,Nice work life balance and compensation,Evaluation is not always based on competency or work
2017-07-25,Fine place to wrok,Analyst,Pune,5.0,NA,NA,I have been working at Principal Financial Group  for more than a year,"Good to learn, Innovative thinking","micro management sometimes 
canteen is not so cool"
2017-06-16,Good for a balanced life,Former Employee - Associate Consultant,Pune,3.0,Recommends,NA,I worked at Principal Financial Group full-time for more than 3 years,"- Free cab
- Leave policy is the best
- Flexible working hours
- Work life balance
- Good for people who don't want a stressful work life
- Provide a very good package","- No onsite
- Variable pay (13% of your gross CTC) is purely dependent on your manager and not your performance
- No good/exciting work
- Lots of politics
- Promotion happens slowly
- Not good for freshers as learning is less
- HR doesn't reply to your queries"
2017-05-08,Associate,Client Service Associate,Pune City,5.0,Recommends,Positive Outlook,I worked at Principal Financial Group ,"The best facilities in the city.
Employee is given first priority
Management is good
Good salary revision every year","Nothing specific, the growth rate is quite slow. Except this everything is good."
